"store_id","prod_id","category","org_price","suggested_price","est_org_vol","est_vol","est_cost","est_org_rev","est_rev","est_prft","incre_rev","incre_prft"
342,999309400,"BEER WITH ALCOHOL",13.79,16.55,3.35462637115472,8.75102083374614,12.0555,46.2602976582236,144.829394798499,39.3314631372721,98.5690971402751,33.5128636965042
349,999309400,"BEER WITH ALCOHOL",13.79,16.55,0.12353973628233,7.69999999984732,12.0555,1.70361296333333,127.434999997473,34.6076499993138,125.73138703414,34.3933703267321
344,999309400,"BEER WITH ALCOHOL",13.79,16.55,20.8999999997173,20.8999997586712,12.0555,288.210999996101,345.894996006009,93.9350489153478,57.6839960099072,57.6839989158381
341,999309400,"BEER WITH ALCOHOL",13.79,12.14,0.488058756180962,2.05979967840084,12.0555,6.73033024773546,25.0059680957862,0.174053072824872,18.2756378480508,-0.672484839771006
345,999309400,"BEER WITH ALCOHOL",13.79,16.55,0.999999999999981,4.39999999959475,12.0555,13.7899999999997,72.8199999932931,19.7757999981786,59.0299999932933,18.0412999981786
348,999309400,"BEER WITH ALCOHOL",13.79,16.55,1.22252842372921,12.0999931748051,12.0555,16.8586669632258,200.254887043025,54.3834193241617,183.396220079799,52.2629437732033
342,999345354,"BEER WITH ALCOHOL",15.99,19.19,1.72815330371189,10.8291405431723,8.5405,27.6331713263532,207.811207023476,115.324932214513,180.178035697123,102.451054178511
349,999345354,"BEER WITH ALCOHOL",15.99,12.79,0.256932667199149,6.3622565999396,8.5405,4.10835334851439,81.3732619132275,27.0364094214433,77.2649085647131,25.1223895171433
346,999345354,"BEER WITH ALCOHOL",15.99,19.19,2.58395615434678,3.29999859237771,8.5405,41.317458908005,63.3269729877283,35.1433350095265,22.0095140797233,15.8941536377201
343,999345354,"BEER WITH ALCOHOL",15.99,19.19,1,1,8.5405,15.99,19.19,10.6495,3.2,3.2
344,999345354,"BEER WITH ALCOHOL",15.99,12.79,1.99614864373531,3.5261245250821,8.5405,31.9184168133275,45.0991326758001,14.9842661693364,13.1807158624725,0.11395684783022
341,999345354,"BEER WITH ALCOHOL",15.99,19.19,4.7044628385636,12.0907879545575,8.5405,75.224360788632,232.022220847958,128.76084632206,156.797860059326,93.7149504061803
345,999345354,"BEER WITH ALCOHOL",15.99,17.59,1.27400527231637,1.16533151755514,8.5405,20.3713443043388,20.4981813937949,10.5456675681152,0.126837089456103,1.05496529199441
395,999345354,"BEER WITH ALCOHOL",15.99,19.19,0.999999999999999,1,8.5405,15.99,19.19,10.6495,3.20000000000003,3.20000000000002
348,999345354,"BEER WITH ALCOHOL",15.99,19.19,1,1,8.5405,15.99,19.19,10.6495,3.2,3.2
342,999516116,"BEER WITH ALCOHOL",21.49,18.48,1.02038970152457,8.47522560766221,12.2455,21.928174685763,156.622169229598,52.8387940509701,134.693994543835,43.4058014552262
349,999516116,"BEER WITH ALCOHOL",21.49,17.19,8.37788151623101e-07,4.57929736084536e-06,12.2455,1.80040673783804e-05,7.87181216329317e-05,2.26423358006999e-05,6.07140542545513e-05,1.48974032330201e-05
346,999516116,"BEER WITH ALCOHOL",21.49,25.79,1,1,12.2455,21.49,25.79,13.5445,4.3,4.3
343,999516116,"BEER WITH ALCOHOL",21.49,25.79,0.732757878151845,2.33326818230783,12.2455,15.7469668014832,60.1749864217189,31.6029508952684,44.4280196202357,24.8289706906936
345,999516116,"BEER WITH ALCOHOL",21.49,18.91,1.48471072925775,1.72098278672269,12.2455,31.9064335717491,32.5437844969261,11.4694897821134,0.637350925177028,-2.2559185545099
395,999516116,"BEER WITH ALCOHOL",21.49,25.79,0.316819643727151,7.69788055688072,12.2455,6.80845414369646,198.528339561954,104.263943202671,191.719885418257,101.335104006235
588,999516116,"BEER WITH ALCOHOL",21.49,17.19,0.892723106720796,1.79844376080079,12.2455,19.1846195634299,30.9152482481656,8.8924051752795,11.7306286847357,0.639626415199109
342,999357977,"BEER WITH ALCOHOL",21.99,26.39,3.50237836148014,10.8117348937055,9.4905,77.0173001689483,285.321683844889,182.712913836177,208.304383675941,138.934935506856
341,999357977,"BEER WITH ALCOHOL",21.99,18.47,0.0815907394926653,3.24952528756467,9.4905,1.79418036144371,60.0187320613194,29.1791123196869,58.2245516998757,28.1592688713984
345,999357977,"BEER WITH ALCOHOL",21.99,17.59,0.539860579161029,5.24329521644404,9.4905,11.871534135751,92.2295628572507,42.4680696055885,80.3580287214997,35.7200822963653
348,999357977,"BEER WITH ALCOHOL",21.99,26.39,2.5059129853072e-06,2.5059129853072e-06,9.4905,5.51050265469053e-05,6.6131043682257e-05,4.2348676495199e-05,1.10260171353517e-05,1.10260171353517e-05
342,999252242,"BEER WITH ALCOHOL",15.99,13.75,1.12642228598222,14.012508654352,7.5905,18.0114923528557,192.671993997341,86.3100470564815,174.660501644485,76.8486630653738
349,999252242,"BEER WITH ALCOHOL",15.99,19.19,0.916450004740749,3.19530406960701,7.5905,14.6540355758046,61.3178850957585,37.0639295554065,46.6638495199539,29.3662077405866
346,999252242,"BEER WITH ALCOHOL",15.99,19.19,2.05112686323423,2.98717111994934,7.5905,32.7975185431153,57.3238137918279,34.6496914058524,24.5262952487126,17.4212513181165
341,999252242,"BEER WITH ALCOHOL",15.99,19.19,2,2,7.5905,31.98,38.38,23.199,6.4,6.4
345,999252242,"BEER WITH ALCOHOL",15.99,19.19,1.00000000000002,1.00000000000003,7.5905,15.9900000000003,19.1900000000006,11.5995000000004,3.20000000000027,3.20000000000019
